Регион;id;Наименование;Широта;Долгота
Волгоградская область;1;Расчистка проток от озера Дегтярное и ерика Дударев до системы озер Чайка на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.690892;44.659437
Волгоградская область;2;"Разработка проекта ""Расчистка ерика Кривой на территории Волго-Ахтубинской поймы в Среднеахтубинском мунципальном районе Волгоградской области"" (ПИР)";48.581544;44.527369
Волгоградская область;3;Расчистка ерика Кривой на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.581544;44.527369
Астраханская область;4;Расчистка протоки Царев в Приволжском районе Астраханской области;46.327910;47.997150
Волгоградская область;5;Экологическая реабилтация ерика Старый Каширин (Прямица) и озер Проклятое, Камышистое и Кружное на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.648820;44.794908
Волгоградская область;6;Экологическая реабилитация озера Широкогорлое на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.608418;44.836547
Волгоградская область;7;Экологическая реабилитация ериков Судомойка, Сахарный и озера Запорное на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.695205;44.630199
Волгоградская область;8;Экологическая реабилитация ерика Шумроватый на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.610021;44.866662
Волгоградская область;9;Экологическая реабилитация ериков Шуляшка, Клетский и озер Варежка, Песчаное на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.603354;44.764380
Волгоградская область;10;Экологическая реабилитация ерика Песчаный и озер Бешеное, Чубатое и Ямы на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.656534;44.616821
Волгоградская область;11;Экологическая реабилитация озерной системы Чайка у п.Великий Октябрь на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.645184;44.709668
Волгоградская область;12;Экологическая реабилитация ерика Обухов на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.686559;44.565698
Волгоградская область;13;Экологическая реабилитация озер Жестково, Большая Киляжка и Песчаное на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.613025 ;44.746539
Волгоградская область;14;Строительство переливной плотины на ерике Каширин у х.Невидимка на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.602995;44.796441
